Pay Grade/Step,Annual Salary,Class ,Title,Department,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Description,Year of Birth,Date Started,FLSA Exempt Y/N
PS0410,58349.65,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1963,11/16/1986,N
TG1104,43452.19,06186,Treatment Plant Tech 2,Water Services,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1958,11/17/1986,N
SR1104,26644.8,07421,Zoning Examiner,Codes Administration,Part Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1951,03/03/2014,N
PS0510,64453.39,07307,Fire Engineer,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1957,02/01/1991,N
NS,55416,,.,Circuit Court Satellite,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1974,10/01/1997,N
SR1200,27347.84,07757,Technical Specialist 2,Police,Part Time,2,Professionals,M,01,White (Not of Hispanic Origin),1943,04/16/2012,N
PS0410,58349.65,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,11/16/1986,N
SR080S,53218.24,10478,Information Sys Oper Tech 1,Information Technology Service,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1968,11/17/2014,N
SR1400,94024.3,06863,Planning Mgr 2,Planning Commission,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1971,05/28/2007,Y
SR1300,65058.44,06247,Parks & Recreation Supt,Parks,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1964,03/01/1995,Y
SR0500,33727.85,06485,Outreach Worker,Health,Full Time,5,Para-Professional,F,02,Black,1952,08/01/1987,N
SR1008,54248.15,07323,Librarian 2,Public Library,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1954,12/01/1991,Y
JS0300,57328.75,07791,Judicial Asst 2,State Trial Courts,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1969,03/10/2003,Y
SR0710,42067.32,07745,Museum Gift Shop Mgr,Parks,Full Time,6,Administrative Support,M,02,Black,1962,10/21/1983,N
SR0809,45541.92,00220,Specialized Skills Instr,Parks,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1965,06/05/1992,Y
SR1300,71176.94,06247,Parks & Recreation Supt,Parks,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1960,02/09/1996,Y
SR0709,40988.37,03200,Museum Spec 2,Parks,Full Time,5,Para-Professional,F,01,White (Not of Hispanic Origin),1957,11/18/1994,N
JS0300,57328.75,07791,Judicial Asst 2,State Trial Courts,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1965,02/13/1995,Y
SR1110,62965.04,07421,Zoning Examiner,Codes Administration,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1957,02/16/1993,N
NS,167676,02233,General Session Judge,General Sessions Court,Elected,0,Elected Officials,M,01,White (Not of Hispanic Origin),1955,09/01/1998,Y
NS,167676,02233,General Session Judge,General Sessions Court,Elected,0,Elected Officials,M,01,White (Not of Hispanic Origin),1957,09/01/1998,Y
NS,167676,02233,General Session Judge,General Sessions Court,Elected,0,Elected Officials,M,01,White (Not of Hispanic Origin),1946,09/01/1990,Y
NS,167676,02233,General Session Judge,General Sessions Court,Elected,0,Elected Officials,M,01,White (Not of Hispanic Origin),1956,09/01/1990,Y
MAC11A,62000,10212,Center Mgr 2,Metro Action Commission,Full Time,2,Professionals,F,02,Black,1954,08/22/1977,Y
SR1500,103020,07762,Special Projects Mgr,Parks,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1953,12/29/2006,N
SR1400,94286.08,06863,Planning Mgr 2,Planning Commission,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1970,03/16/1997,Y
SR1400,87006.53,06531,Human Resources Mgr,Sheriff,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1966,10/01/1985,Y
CA0900,70969.6,06763,Cvn Ctr Sales Mgr,Convention Center Authority,Full Time,2,Professionals,F,02,Black,1964,09/01/1992,Y
SR1009,55714.11,07300,Engineering Tech 3,Water Services,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1961,06/16/1979,N
SR1400,77852.4,10640,Sheriff Chief Investigator,Sheriff,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1969,11/16/1991,Y
NS,10000,04406,Sr Asst District Attorney,District Attorney,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1952,01/01/1991,Y
SR1500,98484.83,10469,General Services Assistant Dir,General Services,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1969,09/01/1988,Y
MAC10D,57919.68,10244,Nutrition Coord,Metro Action Commission,Full Time,2,Professionals,F,02,Black,1958,11/07/2011,Y
MAC07C,38156.56,10227,Family Svcs Spec 2,Metro Action Commission,Full Time,5,Para-Professional,F,02,Black,1961,07/27/1994,N
MAC01A,30303.52,10250,Teacher Asst,Metro Action Commission,Full Time,6,Administrative Support,F,02,Black,1958,11/06/1989,N
SR1009,55714.11,07381,Program Supv,Sheriff,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1966,07/01/1988,Y
SR0904,43804.09,07785,Info Systems App Tech 2,Finance,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1965,10/07/1996,N
CM00,15000,01334,Council Member,Metropolitan Council,Elected,0,Elected Officials,M,02,Black,1945,09/01/2007,Y
SR1500,129605.55,07420,Water Svcs Asst Dir,Water Services,Full Time,1,Officials and Administrators,M,02,Black,1959,07/01/1987,Y
SR1500,119990.55,07762,Special Projects Mgr,Water Services,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1957,03/20/1996,Y
SR1400,79469.63,06606,Engineer 3,Water Services,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1962,02/01/2014,Y
SR1500,89664.08,07762,Special Projects Mgr,Parks,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1960,06/16/1985,Y
DP0200,119498.27,01540,Codes Admin Dir,Codes Administration,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1949,01/16/1990,Y
TL1205,51640.47,06825,Equip Mechanic Leader,General Services,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1946,03/01/2003,N
SR1400,78391.56,06232,Finance Mgr,District Attorney,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1949,10/25/1993,Y
NS,57531.96,07807,Acct/HR Mgr/EEO-NCAC,NCAC,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1953,07/01/1994,Y
CM00,15000,01334,Council Member,Metropolitan Council,Elected,0,Elected Officials,M,01,White (Not of Hispanic Origin),1953,09/01/2011,Y
SR0610,37739.79,10122,Office Support Rep 3,Fire,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1948,06/01/1995,N
PS0509,64684.88,07307,Fire Engineer,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1973,02/01/1998,N
PS0710,82667.55,01686,Fire District Chief,Fire,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1961,04/16/1985,Y
SR1200,66523.27,07377,Program Mgr 2,Social Services,Full Time,2,Professionals,F,02,Black,1964,03/01/1998,Y
PS0610,73107.62,07305,Fire Captain,Fire,Full Time,2,Professionals,M,03,Hispanic,1953,12/17/1973,N
MAC09C,41029.62,10769,Adult Ed Coord-MAC,Metro Action Commission,Full Time,2,Professionals,F,02,Black,1956,11/13/2006,Y
TL0705,40896.18,07325,Maint & Repair Leader 1,Parks,Full Time,8,Service Maintenance,F,01,White (Not of Hispanic Origin),1968,03/13/1992,N
PS0510,64453.39,07307,Fire Engineer,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1974,01/16/1997,N
SR1000,21012.11,07244,Admin Svcs Officer 3,Fire,Part Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1946,01/01/2014,N
JS0300,57328.75,07791,Judicial Asst 2,State Trial Courts,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1966,08/01/1991,Y
SR1500,89664.08,07762,Special Projects Mgr,Parks,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1954,10/24/1980,Y
MAC08B,43478.24,10236,Headstart Teacher 2,Metro Action Commission,Full Time,2,Professionals,F,02,Black,1956,08/24/1989,Y
MAC12B,66364.55,10612,Compliance-Monitoring Mgr,Metro Action Commission,Full Time,2,Professionals,M,02,Black,1961,08/24/1981,Y
SR1100,55654.04,07780,Info Systems App Analyst 2,Law,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1969,04/01/1993,N
SR1200,69186.06,07757,Technical Specialist 2,Public Works,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1958,04/16/1977,Y
SR1300,65058.44,06247,Parks & Recreation Supt,Parks,Full Time,2,Professionals,M,02,Black,1963,07/05/1996,Y
SR1010,57180.08,07722,Exec Asst To Chief-Police/Fire,Police,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1956,12/16/1978,N
SR1200,58182.48,07245,Admin Svcs Officer 4,Police,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1963,03/16/2010,Y
TG0805,39086.61,07341,Painter 1,Parks,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1953,10/28/1994,N
NS,125453,07083,Juvenile Ct Clerk,Juvenile Court Clerk,Elected,0,Elected Officials,M,01,White (Not of Hispanic Origin),1958,05/01/1992,Y
TG035M,29122.69,02799,Maint & Repair Worker 1,Public Works,Full Time,8,Service Maintenance,M,02,Black,1960,01/03/2005,N
SR1400,96370.48,10318,Deputy Court Admin,State Trial Courts,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1956,07/01/1998,Y
PS0410,61850.63,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1959,11/01/1991,N
SR0700,40014.37,10123,Office Support Spec 1,Health,Full Time,6,Administrative Support,F,02,Black,1969,06/16/1997,N
SR1100,62965.04,01845,Environmentalist 3,Health,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1950,10/12/1971,N
SR1400,88869.63,06606,Engineer 3,Water Services,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1964,07/16/1992,Y
NS,25734.8,07379,Program Spec 2,State Trial Courts,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1971,10/20/2014,N
SR1200,68719.99,07245,Admin Svcs Officer 4,Parks,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1954,08/14/1985,Y
SR0905,45131.84,10580,Sheriff Prisoner Proc 2,Sheriff,Full Time,2,Professionals,F,02,Black,1972,11/16/1995,N
SR1300,67667.15,07242,Admin Svcs Mgr,Sheriff,Full Time,1,Officials and Administrators,F,02,Black,1968,03/16/1990,Y
TL0705,40896.18,07325,Maint & Repair Leader 1,Parks,Full Time,8,Service Maintenance,M,02,Black,1954,03/25/1988,N
SR1008,54248.15,07323,Librarian 2,Public Library,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1955,09/01/1992,Y
PS0710,77988.25,07355,Police Lieutenant,Police,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1966,03/16/1988,N
PS0900,96749.21,07702,Police Commander,Police,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1971,11/01/1994,Y
SR0910,24848.18,07241,Admin Asst,Police,Part Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1966,01/23/2012,N
SR1200,54548.7,06874,Human Resources Analyst 3,Human Resources,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1962,09/22/1991,Y
SR0910,51768.27,10103,Application Tech 3,Human Resources,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1958,06/03/2013,N
TG1305,48926.12,10118,Master Tech,General Services,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1958,12/19/1983,N
SR1200,69186.06,06874,Human Resources Analyst 3,Human Resources,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1960,03/16/1986,Y
PS0410,61850.63,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1947,03/16/1990,N
NS,94151.12,07631,Executive Director - NCAC,NCAC,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1962,03/13/2006,Y
PS0610,70978.27,07366,Police Sergeant,Police,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1960,09/01/1992,N
PS0610,73107.62,07366,Police Sergeant,Police,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1958,11/16/1986,N
SR1600,134954.27,07192,Assoc Metropolitan Attorney,Law,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1951,04/01/1980,Y
PS0410,58349.65,01818,Emerg Medical Tech 2,Fire,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1956,11/16/1976,N
SR1300,89559.24,07234,Information Systems Advisor 1,Police,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1966,09/16/1991,Y
SR0910,51768.27,10647,PT Case Officers,Sheriff,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1964,08/01/1993,N
SR1100,62965.04,06380,Soil Scientist,Health,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1961,09/23/1985,Y
SR1400,110404.23,06606,Engineer 3,Water Services,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1954,07/01/1976,Y
SR1300,84466.86,07242,Admin Svcs Mgr,Sheriff,Full Time,1,Officials and Administrators,F,02,Black,1963,06/01/1986,Y
SR1009,55714.11,07300,Engineering Tech 3,Water Services,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1959,10/16/1984,N
NS,71928,01503,Deputy Trustee,Trustee,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1939,09/01/1982,Y
SR1000,57180.08,06598,Cust Svc Supv,General Services,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1963,06/01/1984,Y
PS0509,66568.9,07357,Police Officer 2-Fld Trng Ofcr,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,08/01/1997,N
PS1000,110372.25,10711,Fire Services Deputy Director,Fire,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1956,10/16/1979,Y
SR1200,62790.77,04153,Envir Engineer 2,Health,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1975,06/15/1998,Y
PS0710,77988.25,07355,Police Lieutenant,Police,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1957,01/01/1985,N
SR1300,76403.52,07782,Info Systems Mgr,Fire,Full Time,2,Professionals,M,02,Black,1957,11/01/1996,Y
TS1105,58584.68,07324,Maint & Repair District Supv,Parks,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1960,09/25/1981,Y
SR1600,121720.28,07192,Assoc Metropolitan Attorney,Law,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1963,10/04/1995,Y
SR1300,78773.62,07234,Information Systems Advisor 1,Water Services,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1967,04/01/1986,Y
TS0305,42728.36,05460,Custodial Svcs Supv,Parks,Full Time,8,Service Maintenance,M,02,Black,1963,10/25/1991,Y
SR0906,46458.81,07241,Admin Asst,Public Library,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1956,03/01/1987,N
SR1300,65058.44,06247,Parks & Recreation Supt,Parks,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1951,04/25/1986,Y
PS0610,75236.97,07366,Police Sergeant,Police,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1963,03/16/1988,N
SR1100,49648.54,07753,Professional Spec,Human Resources,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1962,09/26/1988,Y
TG1005,42999.84,00680,Automotive Mechanic,Parks,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1959,05/25/1984,N
SR1500,110107.41,03160,Metropolitan Treasurer,Finance,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1956,09/01/1994,Y
SR1500,104067.44,07762,Special Projects Mgr,Social Services,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1951,10/06/1987,Y
SR0910,51768.27,07241,Admin Asst,Juvenile Court,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1950,09/03/1974,N
SR1010,57180.08,07244,Admin Svcs Officer 3,Public Works,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1964,04/01/1986,N
PS0508,64817.21,07307,Fire Engineer,Fire,Full Time,3,Technicians,M,02,Black,1970,10/01/2000,N
SR0810,9347.94,07243,Admin Svcs Officer 2,Sheriff,Part Time,2,Professionals,M,01,White (Not of Hispanic Origin),1943,10/05/2007,N
NS,88092,00390,Asst District Attorney,District Attorney,Full Time,2,Professionals,M,02,Black,1969,08/19/1996,Y
PS0410,61850.63,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1953,11/16/1986,N
PD0200,111395.51,10172,Assoc Pub Defender,Public Defender,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1961,09/01/1993,Y
PD0200,45410.46,10172,Assoc Pub Defender,Public Defender,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1944,02/21/2012,Y
NS,148505,03964,Public Defender,Public Defender,Elected,0,Elected Officials,F,01,White (Not of Hispanic Origin),1971,06/01/1996,Y
MM,136500,03035,Mayor,Mayor's Office,Full Time,0,Elected Officials,M,01,White (Not of Hispanic Origin),1955,09/21/2007,Y
PS0509,62800.85,07357,Police Officer 2-Fld Trng Ofcr,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1973,11/16/1996,N
SR0800,46740.28,07379,Program Spec 2,Health,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1959,01/01/1991,N
SR1600,130128.12,06680,Chief Deputy,Sheriff,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1955,08/01/1997,Y
SR100X,66052,10751,Complliance Officer-DCSO,Sheriff,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1962,05/01/1986,N
PS0610,75236.97,07366,Police Sergeant,Police,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1963,06/16/1995,N
TS0904,52703.59,06188,Treatment Plant Shift Operator,Water Services,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1959,08/29/1994,N
SR1300,71261.64,07242,Admin Svcs Mgr,Sheriff,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1959,11/16/1981,Y
SR1500,97625.03,07232,Juvenile Ct Referee 2,Juvenile Court,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1955,12/11/1995,Y
PD0100,44349.69,10171,Asst Pub Defender,Public Defender,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1968,01/01/1996,Y
SR0600,37739.79,10122,Office Support Rep 3,Health,Full Time,6,Administrative Support,F,03,Hispanic,1959,01/30/1995,N
SR1200,56766.41,07245,Admin Svcs Officer 4,District Attorney,Full Time,2,Professionals,F,02,Black,1971,04/16/1994,Y
SR1400,103836.92,06232,Finance Mgr,Sheriff,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1963,11/01/2003,Y
SR1100,62965.04,01464,Dental Hygienist 2,Health,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1957,02/28/1994,Y
SR1110,62965.04,06848,Museum Mgr,Parks,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1949,10/01/1974,Y
PS0710,77988.25,07355,Police Lieutenant,Police,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1957,03/16/1988,N
SR1500,109961.92,07762,Special Projects Mgr,District Attorney,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1957,02/01/1982,Y
SR0600,37739.79,01461,Dental Asst 1,Health,Full Time,3,Technicians,F,02,Black,1969,02/23/1998,N
SR1300,79747.66,07242,Admin Svcs Mgr,Water Services,Full Time,1,Officials and Administrators,F,02,Black,1954,04/01/1990,Y
TS1305,63402.64,07786,Indust Maint Supv 2,Water Services,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1959,03/09/1981,Y
TS1205,60688.3,07317,Indust Maint Supv 1,Water Services,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1960,04/30/1990,Y
NS,109921,,.,Register of Deeds,Elected,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1959,09/01/1998,Y
SR1008,26446.13,10576,Sheriff Chaplain,Sheriff,Part Time,2,Professionals,M,02,Black,1953,06/16/1988,N
SR1200,58000,04400,Appraiser 4,Assessor of Property,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1969,07/22/1991,Y
NS,71981.18,07245,Admin Svcs Officer 4,Metropolitan Council,Full Time,2,Professionals,F,02,Black,1951,01/28/1985,Y
CM00,15000,01334,Council Member,Metropolitan Council,Elected,0,Elected Officials,M,01,White (Not of Hispanic Origin),1956,09/21/2007,Y
NS,69300.14,07242,Admin Svcs Mgr,Juvenile Court Clerk,Full Time,1,Officials and Administrators,M,02,Black,1963,10/01/2007,Y
SR1300,76300.25,07242,Admin Svcs Mgr,Metropolitan Council,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1956,09/01/1974,Y
CM00,15000,01334,Council Member,Metropolitan Council,Elected,0,Elected Officials,M,01,White (Not of Hispanic Origin),1951,09/01/2007,Y
SR0809,22201.53,10650,Sheriff Pretrial Screener,Sheriff,Part Time,2,Professionals,M,03,Hispanic,1958,07/22/2009,N
TL1405,55983.43,07787,Indust Tech Master,Water Services,Full Time,7,Skilled Craft Workers,M,02,Black,1956,10/10/1978,N
PS0510,64453.39,07307,Fire Engineer,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1965,04/16/1986,N
SR1300,69646.56,07242,Admin Svcs Mgr,Sheriff,Full Time,2,Professionals,F,04,Asian or Pacific Islander,1973,11/16/1995,Y
PS0410,61850.63,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1973,02/01/2002,N
MAC13A,79906.01,10207,Admin Svcs & Operations Dir,Metro Action Commission,Full Time,1,Officials and Administrators,F,02,Black,1956,08/03/1998,Y
SR1400,77806.84,10752,Facility Admin-DCSO,Sheriff,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1966,10/01/1988,Y
PS0410,61850.63,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,06/16/1996,N
SR0810,22902.44,07143,Sheriff Case Worker 1,Sheriff,Part Time,2,Professionals,M,02,Black,1959,04/29/2013,N
SR0809,45541.92,10650,Sheriff Pretrial Screener,Sheriff,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1965,10/01/1998,N
SR0707,38830.47,10135,Security Officer 2-Gen Sess Ct,General Sessions Court,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1969,10/01/1998,N
TS1300,62774.9,00842,Bldg Maint Supt,State Fair Board,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1958,08/03/1998,N
SR0600,37739.79,10122,Office Support Rep 3,Health,Full Time,6,Administrative Support,F,02,Black,1960,09/26/1995,N
PS0610,75236.97,07366,Police Sergeant,Police,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1966,03/02/2010,N
SR1200,69186.06,06802,Archivist,Public Library,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1958,08/16/1993,Y
SR1100,56505.86,10484,Waste Management Supervsior,Public Works,Full Time,8,Service Maintenance,M,02,Black,1966,08/26/1988,Y
SR1008,54248.15,04710,Probation Officer 2,General Sessions Court,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1953,07/01/1993,N
SR1010,57180.08,04710,Probation Officer 2,General Sessions Court,Full Time,2,Professionals,F,02,Black,1960,10/01/1994,N
SR1010,57180.08,04710,Probation Officer 2,General Sessions Court,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1961,09/01/1990,N
SR1400,92757.5,06232,Finance Mgr,Finance,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1962,10/16/1994,Y
PS0709,80547.43,07355,Police Lieutenant,Police,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1970,09/01/1992,N
SR1400,97135.27,06232,Finance Mgr,Public Works,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1951,04/01/1996,Y
NS,87706.41,07821,Dir of Operations-NCAC,NCAC,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1960,02/16/1989,Y
SR1200,69186.06,05495,Probation Officer 3,General Sessions Court,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1954,03/01/1977,Y
SR1200,64277.99,05495,Probation Officer 3,General Sessions Court,Full Time,2,Professionals,F,02,Black,1953,03/01/1977,Y
SR1300,71563.74,06247,Parks & Recreation Supt,Parks,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1966,04/16/1992,Y
SR0809,45541.92,10124,Office Support Spec 2,Water Services,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1961,08/28/1987,N
SR1200,69186.06,07245,Admin Svcs Officer 4,Water Services,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1954,06/16/1979,Y
SR1010,57180.08,07730,CAD/GIS Analyst 2,Water Services,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1949,08/01/1987,N
SR1300,79835.98,01056,Chief Dpty Clerk-Gen Sess Ct,Circuit Court Clerk,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1967,03/11/1992,Y
NS,48804.21,10384,Sr. Youth CDF-NCAC,NCAC,Full Time,2,Professionals,M,02,Black,1952,07/24/1995,N
NS,85579.51,07819,Finance Dir - NCAC,NCAC,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1951,08/22/1994,Y
SR1500,123236.05,07420,Water Svcs Asst Dir,Water Services,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1961,07/01/1998,Y
PS0808,93997.04,00956,Police Captain,Police,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1965,11/16/1986,Y
PS0607,69449.59,07366,Police Sergeant,Police,Full Time,3,Technicians,M,02,Black,1957,02/01/1991,N
SR1200,33202.79,07245,Admin Svcs Officer 4,Water Services,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1946,08/28/2012,Y
SR1200,61793.46,07245,Admin Svcs Officer 4,State Trial Courts,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1961,11/16/1992,Y
NS,39264,06554,Deputy-Tax Accounting,Trustee,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1956,04/01/1981,N
NS,61327.87,06791,Deputy Clerk 5,County Clerk,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1963,08/17/1981,N
NS,65650,06792,Deputy Clerk 6,County Clerk,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1954,03/01/1985,N
SR1500,104415.71,07232,Juvenile Ct Referee 2,Juvenile Court,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1967,08/22/1994,Y
SR1400,92246.02,07159,Div Mgr-Sheriff,Sheriff,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1954,11/01/1982,Y
PS0510,68320.59,07357,Police Officer 2-Fld Trng Ofcr,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1962,11/01/1994,N
