|Department|Title|Pay Grade|Annual Salary|Ethnic Code|Description|Gender|Year of Birth|EEO Job description
7810|Criminal Court Clerk|Deputy Criminal Ct Clerk 7|NS|34,510.00|01|White (Not of Hispanic Origin)|M|1985|Administrative Support
7849|Criminal Court Clerk|Deputy Criminal Ct Clerk 5|NS|34,510.00|01|White (Not of Hispanic Origin)|M|1988|Administrative Support
7850|Criminal Court Clerk|Deputy Criminal Ct Clerk 5|NS|33,495.00|01|White (Not of Hispanic Origin)|F|1990|Administrative Support
7861|Criminal Court Clerk|Deputy Criminal Ct Clerk 1|NS|65,975.00|02|Black|F|1954|Administrative Support
7862|Criminal Court Clerk|Deputy Criminal Ct Clerk 3|NS|29,435.00|01|White (Not of Hispanic Origin)|F|1986|Administrative Support
7863|Criminal Court Clerk|Deputy Criminal Ct Clerk 4|NS|34,510.00|01|White (Not of Hispanic Origin)|M|1988|Administrative Support
7879|Criminal Court Clerk|Deputy Criminal Ct Clerk 5|NS|38,570.00|01|White (Not of Hispanic Origin)|M|1987|Administrative Support
7896|Criminal Court Clerk|Deputy Criminal Ct Clerk 5|NS|27,867.84|01|White (Not of Hispanic Origin)|F|1990|Administrative Support
7898|Criminal Court Clerk|Deputy Criminal Ct Clerk 4|NS|28,739.77|99|Unknown|F|1988|Administrative Support
269|Criminal Justice Planning Unit|Director Crim Justice Planning|DP01|101,469.11|01|White (Not of Hispanic Origin)|F|1960|Officials and Administrators
2615|Criminal Justice Planning Unit|Statistical Research Analyst 1|SR12|55,216.00|01|White (Not of Hispanic Origin)|F|1970|Professionals
2040|Criminal Justice Planning Unit|Statistical Research Analyst 2|SR14|90,444.62|01|White (Not of Hispanic Origin)|F|1959|Professionals
2|District Attorney|District Attorney General|NS|7,500.00|01|White (Not of Hispanic Origin)|M|1949|Elected Officials
897|District Attorney|Program Supv|NS|14,386.08|02|Black|F|1949|Professionals
911|District Attorney|Sr Asst District Attorney|NS|6,499.92|01|White (Not of Hispanic Origin)|F|1953|Professionals
917|District Attorney|Sr Asst District Attorney|NS|7,500.00|01|White (Not of Hispanic Origin)|M|1946|Professionals
940|District Attorney|Sr Asst District Attorney|NS|6,500.00|01|White (Not of Hispanic Origin)|M|1949|Professionals
941|District Attorney|Asst District Attorney|NS|96,048.00|01|White (Not of Hispanic Origin)|M|1952|Professionals
952|District Attorney|Sr Asst District Attorney|NS|4,999.92|01|White (Not of Hispanic Origin)|M|1952|Professionals
984|District Attorney|Asst District Attorney|NS|90,492.00|02|Black|M|1969|Professionals
1029|District Attorney|Asst District Attorney|NS|93,092.00|01|White (Not of Hispanic Origin)|M|1969|Professionals
1038|District Attorney|Asst District Attorney|NS|76,740.00|01|White (Not of Hispanic Origin)|F|1969|Professionals
1129|District Attorney|Asst District Attorney|NS|4,999.92|01|White (Not of Hispanic Origin)|F|1967|Professionals
1131|District Attorney|Asst District Attorney|NS|93,092.00|01|White (Not of Hispanic Origin)|M|1964|Professionals
1146|District Attorney|Sr Asst District Attorney|NS|4,999.92|01|White (Not of Hispanic Origin)|F|1955|Professionals
1186|District Attorney|Asst District Attorney|NS|82,428.00|01|White (Not of Hispanic Origin)|F|1971|Professionals
1195|District Attorney|Asst District Attorney|NS|84,560.00|01|White (Not of Hispanic Origin)|F|1974|Professionals
1255|District Attorney|Asst District Attorney|NS|2,400.00|01|White (Not of Hispanic Origin)|M|1955|Professionals
1294|District Attorney|Asst District Attorney|NS|90,948.00|01|White (Not of Hispanic Origin)|M|1956|Professionals
1299|District Attorney|Asst District Attorney|NS|73,908.00|01|White (Not of Hispanic Origin)|F|1962|Professionals
1304|District Attorney|Sr Asst District Attorney|NS|4,999.92|01|White (Not of Hispanic Origin)|M|1949|Professionals
1328|District Attorney|Asst District Attorney|NS|71,040.00|01|White (Not of Hispanic Origin)|F|1964|Professionals
1334|District Attorney|Asst District Attorney|NS|2,400.00|01|White (Not of Hispanic Origin)|M|1955|Professionals
1397|District Attorney|Asst District Attorney|NS|2,400.00|01|White (Not of Hispanic Origin)|F|1953|Professionals
1429|District Attorney|Asst District Attorney|NS|94,548.00|01|White (Not of Hispanic Origin)|F|1966|Professionals
1598|District Attorney|.|NS|556.39|01|White (Not of Hispanic Origin)|M|1967|Professionals
1841|District Attorney|Asst District Attorney|NS|3,600.00|01|White (Not of Hispanic Origin)|M|1959|Professionals
1870|District Attorney|Asst District Attorney|NS|78,908.96|01|White (Not of Hispanic Origin)|M|1976|Professionals
1899|District Attorney|Asst District Attorney|NS|100,740.64|01|White (Not of Hispanic Origin)|F|1962|Professionals
1953|District Attorney|Asst District Attorney|NS|90,260.00|01|White (Not of Hispanic Origin)|F|1971|Professionals
2078|District Attorney|Asst District Attorney|NS|53,916.00|01|White (Not of Hispanic Origin)|M|1984|Professionals
2096|District Attorney|Asst District Attorney|NS|71,040.00|01|White (Not of Hispanic Origin)|M|1976|Professionals
2162|District Attorney|Asst District Attorney|NS|65,328.00|01|White (Not of Hispanic Origin)|M|1978|Professionals
2263|District Attorney|Asst District Attorney|NS|78,908.00|02|Black|F|1970|Professionals
2338|District Attorney|Asst District Attorney|NS|65,328.00|01|White (Not of Hispanic Origin)|M|1979|Professionals
2457|District Attorney|Asst District Attorney|NS|59,616.00|01|White (Not of Hispanic Origin)|F|1980|Professionals
2458|District Attorney|Asst District Attorney|NS|59,616.00|01|White (Not of Hispanic Origin)|F|1982|Professionals
2579|District Attorney|Asst District Attorney|NS|45,348.00|01|White (Not of Hispanic Origin)|M|1986|Professionals
2737|District Attorney|Asst District Attorney|NS|53,916.00|01|White (Not of Hispanic Origin)|F|1985|Professionals
2772|District Attorney|Asst District Attorney|NS|48,204.00|01|White (Not of Hispanic Origin)|F|1987|Professionals
2784|District Attorney|Asst District Attorney|NS|56,784.00|01|White (Not of Hispanic Origin)|F|1981|Professionals
4168|District Attorney|Criminal Investigator|NS|4,999.92|01|White (Not of Hispanic Origin)|M|1953|Protective Service Workers
8517|District Attorney|Seasonal/Part-time/Temporary|NS|8,320.00|01|White (Not of Hispanic Origin)|F|1995|Service Maintenance
6745|District Attorney|Office Support Rep 3|SR06|28,739.77|02|Black|F|1979|Administrative Support
7256|District Attorney|Office Support Rep 3|SR06|33,532.19|02|Black|F|1953|Administrative Support
6979|District Attorney|Office Support Rep 3|SR06|34,490.67|02|Black|F|1953|Administrative Support
6938|District Attorney|Office Support Rep 3|SR06|36,407.64|02|Black|F|1947|Administrative Support
6601|District Attorney|Legal Secretary 1|SR07|32,036.40|02|Black|F|1969|Administrative Support
7567|District Attorney|Legal Secretary 1|SR07|33,104.67|02|Black|F|1979|Administrative Support
7580|District Attorney|Office Support Spec 1|SR07|32,036.40|01|White (Not of Hispanic Origin)|M|1976|Administrative Support
7914|District Attorney|Legal Secretary 1|SR07|33,104.67|01|White (Not of Hispanic Origin)|F|1963|Administrative Support
6958|District Attorney|Legal Secretary 1|SR07|34,172.94|02|Black|F|1958|Administrative Support
7666|District Attorney|Legal Secretary 1|SR07|34,172.94|02|Black|F|1970|Administrative Support
7699|District Attorney|Legal Secretary 1|SR07|34,172.94|01|White (Not of Hispanic Origin)|F|1981|Administrative Support
7650|District Attorney|Legal Secretary 1|SR07|35,241.21|01|White (Not of Hispanic Origin)|F|1954|Administrative Support
7597|District Attorney|Legal Secretary 1|SR07|36,309.47|01|White (Not of Hispanic Origin)|F|1955|Administrative Support
6946|District Attorney|Office Support Spec 1|SR07|37,377.74|01|White (Not of Hispanic Origin)|M|1958|Administrative Support
7516|District Attorney|Legal Secretary 1|SR07|37,377.74|01|White (Not of Hispanic Origin)|F|1959|Administrative Support
6919|District Attorney|Legal Secretary 1|SR07|39,514.27|01|White (Not of Hispanic Origin)|F|1957|Administrative Support
711|District Attorney|Social Worker 1|SR08|35,599.05|01|White (Not of Hispanic Origin)|F|1990|Professionals
823|District Attorney|Social Worker 1|SR08|35,599.05|01|White (Not of Hispanic Origin)|F|1991|Professionals
2665|District Attorney|Social Worker 1|SR08|36,785.55|01|White (Not of Hispanic Origin)|F|1988|Professionals
2765|District Attorney|Social Worker 1|SR08|36,785.55|01|White (Not of Hispanic Origin)|F|1990|Professionals
2773|District Attorney|Social Worker 1|SR08|36,785.55|01|White (Not of Hispanic Origin)|F|1989|Professionals
2791|District Attorney|Social Worker 1|SR08|36,785.55|01|White (Not of Hispanic Origin)|F|1989|Professionals
650|District Attorney|Social Worker 1|SR08|37,972.04|01|White (Not of Hispanic Origin)|F|1976|Professionals
2592|District Attorney|Social Worker 1|SR08|40,345.76|01|White (Not of Hispanic Origin)|F|1979|Professionals
6911|District Attorney|Legal Secretary 2|SR08|42,718.02|01|White (Not of Hispanic Origin)|F|1953|Administrative Support
6915|District Attorney|Office Support Spec 2|SR08|42,718.02|01|White (Not of Hispanic Origin)|F|1962|Administrative Support
1368|District Attorney|Social Worker 1|SR08|45,091.01|01|White (Not of Hispanic Origin)|F|1969|Professionals
914|District Attorney|Social Worker 1|SR08|46,277.50|02|Black|F|1960|Professionals
702|District Attorney|Social Worker 2|SR09|39,427.72|01|White (Not of Hispanic Origin)|F|1983|Professionals
7715|District Attorney|Admin Asst|SR09|16,296.38|01|White (Not of Hispanic Origin)|F|1955|Administrative Support
2025|District Attorney|Social Worker 2|SR09|43,370.38|01|White (Not of Hispanic Origin)|F|1979|Professionals
6934|District Attorney|Admin Asst|SR09|22,534.51|01|White (Not of Hispanic Origin)|F|1946|Administrative Support
879|District Attorney|Social Worker 2|SR09|47,313.05|01|White (Not of Hispanic Origin)|F|1959|Professionals
1352|District Attorney|Program Supv|SR10|47,905.24|02|Black|F|1970|Professionals
903|District Attorney|Technical Specialist 1|SR11|24,553.65|01|White (Not of Hispanic Origin)|M|1952|Professionals
6805|District Attorney|Admin Spec|SR11|55,948.91|01|White (Not of Hispanic Origin)|F|1971|Administrative Support
6852|District Attorney|Admin Spec|SR11|55,948.91|01|White (Not of Hispanic Origin)|F|1958|Administrative Support
992|District Attorney|Admin Svcs Officer 4|SR12|54,447.85|02|Black|F|1971|Professionals
291|District Attorney|Admin Svcs Mgr|SR13|58,930.98|01|White (Not of Hispanic Origin)|F|1954|Officials and Administrators
532|District Attorney|Admin Svcs Mgr|SR13|77,329.03|01|White (Not of Hispanic Origin)|F|1961|Officials and Administrators
1069|District Attorney|Admin Svcs Mgr|SR13|74,493.69|01|White (Not of Hispanic Origin)|M|1975|Professionals
1140|District Attorney|Finance Admin|SR13|65,986.61|01|White (Not of Hispanic Origin)|M|1951|Professionals
1347|District Attorney|Information Systems Advisor 1|SR13|77,329.03|01|White (Not of Hispanic Origin)|M|1961|Professionals
144|District Attorney|Finance Mgr|SR14|73,653.31|01|White (Not of Hispanic Origin)|M|1949|Officials and Administrators
162|District Attorney|Special Projects Mgr|SR15|103,414.05|01|White (Not of Hispanic Origin)|M|1957|Officials and Administrators
205|District Attorney|Special Projects Mgr|SR15|92,494.74|01|White (Not of Hispanic Origin)|M|1975|Officials and Administrators
72|Election Commission|Election Commissioner|||01|White (Not of Hispanic Origin)|F|1967|Officials and Administrators
76|Election Commission|Election Commissioner|||01|White (Not of Hispanic Origin)|F|1976|Officials and Administrators
79|Election Commission|Election Commissioner|||01|White (Not of Hispanic Origin)|M|1953|Officials and Administrators
481|Election Commission|Election Commissioner|||02|Black|M|1949|Officials and Administrators
568|Election Commission|Election Commissioner|||01|White (Not of Hispanic Origin)|M|1946|Officials and Administrators
584|Election Commission|Admin Of Elections||102,500.00|99|Unknown|M|1941|Officials and Administrators
6672|Election Commission|Seasonal/Part-time/Temporary||19,500.00|02|Black|F|1994|Administrative Support
7307|Election Commission|Seasonal/Part-time/Temporary||10,400.00|99|Unknown|F|1995|Administrative Support
7333|Election Commission|Seasonal/Part-time/Temporary||23,400.00|01|White (Not of Hispanic Origin)|M|1994|Administrative Support
7403|Election Commission|Seasonal/Part-time/Temporary||4,160.00|02|Black|F|1988|Administrative Support
7420|Election Commission|Seasonal/Part-time/Temporary||6,400.00|02|Black|M|1996|Administrative Support
7449|Election Commission|Seasonal/Part-time/Temporary||4,160.00|99|Unknown|F|1957|Administrative Support
7450|Election Commission|Officer|||01|White (Not of Hispanic Origin)|M|1949|Administrative Support
7476|Election Commission|Seasonal/Part-time/Temporary||23,400.00|01|White (Not of Hispanic Origin)|M|1945|Administrative Support
7518|Election Commission|Seasonal/Part-time/Temporary||15,600.00|01|White (Not of Hispanic Origin)|F|1949|Administrative Support
7519|Election Commission|Seasonal/Part-time/Temporary||6,400.00|01|White (Not of Hispanic Origin)|M|1987|Administrative Support
7564|Election Commission|Officer|||01|White (Not of Hispanic Origin)|F|1954|Administrative Support
7604|Election Commission|Seasonal/Part-time/Temporary||19,500.00|99|Unknown|F|1947|Administrative Support
7729|Election Commission|Seasonal/Part-time/Temporary||6,400.00|01|White (Not of Hispanic Origin)|F|1952|Administrative Support
7734|Election Commission|Seasonal/Part-time/Temporary||19,500.00|99|Unknown|F|1947|Administrative Support
7784|Election Commission|Officer|||01|White (Not of Hispanic Origin)|M|1984|Administrative Support
317|Election Commission|Special Asst To The Dir|NS|93,090.68|02|Black|F|1965|Officials and Administrators
3296|Election Commission|Machine Tech|NS|70,844.21|01|White (Not of Hispanic Origin)|M|1965|Technicians
3547|Election Commission|Machine Tech|NS|62,945.21|01|White (Not of Hispanic Origin)|M|1955|Technicians
6795|Election Commission|Office Support Rep 2|SR05|29,969.54|30|Hawaiian or Pacific Islander|F|1974|Administrative Support
7324|Election Commission|Office Support Rep 2|SR05|30,825.63|01|White (Not of Hispanic Origin)|F|1959|Administrative Support
7078|Election Commission|Office Support Rep 2|SR05|33,393.91|02|Black|F|1963|Administrative Support
7464|Election Commission|Office Support Rep 2|SR05|33,393.91|99|Unknown|F|1963|Administrative Support
7619|Election Commission|Office Support Spec 1|SR07|32,036.40|01|White (Not of Hispanic Origin)|M|1989|Administrative Support
2215|Election Commission|Admin Svcs Officer 2|SR08|35,599.05|02|Black|F|1982|Professionals
6752|Election Commission|Office Support Spec 2|SR08|36,785.55|01|White (Not of Hispanic Origin)|F|1989|Administrative Support
3542|Election Commission|Info Systems App Tech 1|SR08|40,345.03|01|White (Not of Hispanic Origin)|F|1959|Technicians
7350|Election Commission|Office Support Spec 2|SR08|43,904.52|01|White (Not of Hispanic Origin)|F|1961|Administrative Support
7725|Election Commission|Program Coord|SR09|39,427.72|01|White (Not of Hispanic Origin)|F|1954|Administrative Support
6999|Election Commission|Admin Asst|SR09|49,941.49|02|Black|F|1970|Administrative Support
7870|Election Commission|Admin Svcs Officer 3|SR10|49,356.69|01|White (Not of Hispanic Origin)|F|1958|Administrative Support
1490|Election Commission|Program Spec 3|SR10|52,259.59|02|Black|F|1969|Professionals
2393|Election Commission|Info Sys Comm Analyst 2|SR11|60,743.45|01|White (Not of Hispanic Origin)|M|1985|Professionals
807|Election Commission|Admin Svcs Officer 4|SR12|68,501.05|01|White (Not of Hispanic Origin)|F|1974|Professionals
6713|Election Commission|Admin Svcs Officer 4|SR12|68,501.05|01|White (Not of Hispanic Origin)|F|1957|Administrative Support
425|Election Commission|Finance Mgr|SR14|75,862.92|01|White (Not of Hispanic Origin)|M|1953|Officials and Administrators
186|Emergency Communication Center|Emerg Communications Dir|DP02|119,260.96|01|White (Not of Hispanic Origin)|M|1949|Officials and Administrators
6638|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1987|Administrative Support
6665|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|02|Black|F|1986|Administrative Support
6666|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1977|Administrative Support
6702|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1979|Administrative Support
6703|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1984|Administrative Support
6704|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1990|Administrative Support
6705|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|02|Black|M|1982|Administrative Support
6708|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1991|Administrative Support
6709|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1962|Administrative Support
6710|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1989|Administrative Support
6722|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1976|Administrative Support
6723|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1985|Administrative Support
6724|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1986|Administrative Support
6725|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1975|Administrative Support
6726|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1988|Administrative Support
6727|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1991|Administrative Support
6755|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1983|Administrative Support
6756|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1992|Administrative Support
6757|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|02|Black|M|1982|Administrative Support
6758|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1990|Administrative Support
6759|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1985|Administrative Support
6778|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|02|Black|F|1989|Administrative Support
6779|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.36|01|White (Not of Hispanic Origin)|F|1979|Administrative Support
6780|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1991|Administrative Support
6781|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1981|Administrative Support
6782|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|02|Black|F|1977|Administrative Support
6783|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.36|02|Black|F|1988|Administrative Support
7424|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|M|1993|Administrative Support
7572|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1995|Administrative Support
7747|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1979|Administrative Support
7781|Emergency Communication Center|Emer Telecommunications Off 1|ET01|28,739.77|01|White (Not of Hispanic Origin)|F|1973|Administrative Support
6557|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|01|White (Not of Hispanic Origin)|F|1979|Administrative Support
6558|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|01|White (Not of Hispanic Origin)|M|1982|Administrative Support
6566|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|03|Hispanic|M|1987|Administrative Support
6580|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|01|White (Not of Hispanic Origin)|M|1989|Administrative Support
6581|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|01|White (Not of Hispanic Origin)|F|1979|Administrative Support
6582|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|01|White (Not of Hispanic Origin)|M|1990|Administrative Support
6602|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|01|White (Not of Hispanic Origin)|F|1983|Administrative Support
6631|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|01|White (Not of Hispanic Origin)|F|1988|Administrative Support
6632|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|01|White (Not of Hispanic Origin)|F|1968|Administrative Support
7609|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|02|Black|F|1975|Administrative Support
7834|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.40|02|Black|F|1977|Administrative Support
7854|Emergency Communication Center|Emer Telecommunications Off 2|ET02|32,036.16|01|White (Not of Hispanic Origin)|M|1985|Administrative Support
7118|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|M|1976|Administrative Support
7398|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|M|1992|Administrative Support
7746|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|F|1981|Administrative Support
7788|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|F|1988|Administrative Support
7812|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|F|1987|Administrative Support
7832|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|M|1984|Administrative Support
7853|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|F|1986|Administrative Support
7855|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|F|1968|Administrative Support
7856|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|F|1972|Administrative Support
7900|Emergency Communication Center|Emer Telecommunications Off 3|ET03|39,427.72|01|White (Not of Hispanic Origin)|F|1989|Administrative Support
7278|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|02|Black|M|1986|Administrative Support
7284|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|02|Black|F|1979|Administrative Support
7503|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|F|1965|Administrative Support
7610|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|F|1981|Administrative Support
7683|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|F|1986|Administrative Support
7686|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|M|1983|Administrative Support
7748|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|M|1980|Administrative Support
7749|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|F|1969|Administrative Support
7750|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|02|Black|F|1981|Administrative Support
7752|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,740.96|01|White (Not of Hispanic Origin)|F|1979|Administrative Support
7753|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|M|1977|Administrative Support
7754|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|02|Black|F|1983|Administrative Support
7776|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|M|1983|Administrative Support
7778|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|03|Hispanic|M|1980|Administrative Support
7802|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|M|1979|Administrative Support
7811|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|02|Black|M|1974|Administrative Support
7833|Emergency Communication Center|Emer Telecommunications Off 3|ET03|40,741.94|01|White (Not of Hispanic Origin)|F|1975|Administrative Support
7724|Emergency Communication Center|Emer Telecommunications Off 3|ET03|42,056.16|01|White (Not of Hispanic Origin)|M|1954|Administrative Support
7106|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|M|1974|Administrative Support
7418|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|M|1981|Administrative Support
7429|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|02|Black|F|1978|Administrative Support
7430|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|F|1970|Administrative Support
7558|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|F|1985|Administrative Support
7591|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|02|Black|F|1980|Administrative Support
7592|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|02|Black|F|1979|Administrative Support
7681|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|F|1980|Administrative Support
7682|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|M|1983|Administrative Support
7704|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|M|1987|Administrative Support
7705|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|F|1969|Administrative Support
7706|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|F|1982|Administrative Support
7716|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|M|1982|Administrative Support
7717|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|02|Black|F|1981|Administrative Support
7721|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|F|1979|Administrative Support
7722|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|F|1974|Administrative Support
7723|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|M|1979|Administrative Support
7741|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|03|Hispanic|F|1986|Administrative Support
7742|Emergency Communication Center|Emer Telecommunications Off 4|ET04|45,002.34|01|White (Not of Hispanic Origin)|F|1981|Administrative Support
7529|Emergency Communication Center|Emer Telecommunications Off 4|ET04|46,453.79|02|Black|F|1977|Administrative Support
7539|Emergency Communication Center|Emer Telecommunications Off 4|ET04|46,453.79|03|Hispanic|F|1981|Administrative Support
7549|Emergency Communication Center|Emer Telecommunications Off 4|ET04|46,453.79|02|Black|F|1970|Administrative Support
7557|Emergency Communication Center|Emer Telecommunications Off 4|ET04|46,453.79|02|Black|F|1980|Administrative Support
7583|Emergency Communication Center|Emer Telecommunications Off 4|ET04|46,453.79|01|White (Not of Hispanic Origin)|F|1981|Administrative Support
7584|Emergency Communication Center|Emer Telecommunications Off 4|ET04|46,453.79|01|White (Not of Hispanic Origin)|M|1980|Administrative Support
7384|Emergency Communication Center|Emer Telecommunications Off 4|ET04|47,905.24|01|White (Not of Hispanic Origin)|F|1973|Administrative Support
7451|Emergency Communication Center|Emer Telecommunications Off 4|ET04|47,905.24|03|Hispanic|F|1977|Administrative Support
7452|Emergency Communication Center|Emer Telecommunications Off 4|ET04|47,905.24|01|White (Not of Hispanic Origin)|F|1979|Administrative Support
7486|Emergency Communication Center|Emer Telecommunications Off 4|ET04|47,905.24|02|Black|F|1981|Administrative Support
