Address Number|Pay Grade/Step|Annual Salary|Class #|Class # Description|Current Dept|Department|Employment Status|Employment Status Description|EEO Job Cat|EEO Job Cat Description|Gender|Ethnic Code|Description|Year of Birth
224839|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1971
224844|PS0610| $73,107.62 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1969
224846|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1957
224848|SR1200| $32,159.40 |07757|Technical Specialist 2|031|Police|P|Part Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1951
224851|PS0509| $66,568.90 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1973
224862|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1962
224863|ET0409| $55,714.11 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|02|Black|1968
224864|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1962
224868|SR0905| $45,131.45 |10580|Sheriff Prisoner Proc 2|030|Sheriff|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1964
224877|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|F|01|White (Not of Hispanic Origin)|1970
224878|CM00| $15,000.00 |01334|Council Member|002|Metropolitan Council|E|Elected|000|Elected Officials|M|01|White (Not of Hispanic Origin)|1953
224889|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1961
224895|PS0410| $60,100.14 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1971
224901|PS0609| $69,158.34 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|F|01|White (Not of Hispanic Origin)|1955
224903|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1968
224904|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1971
224905|PS0607| $69,449.59 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1974
224906|PS0403| $50,751.67 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1972
224907|PS0705| $72,066.96 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1974
224911|PS0609| $73,307.84 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1964
224922|PS0410| $60,100.14 |01818|Emerg Medical Tech 2|032|Fire|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1963
224945|PS0706| $74,187.07 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1975
224946|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1959
224948|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1967
224949|PS0510| $68,320.59 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1969
224951|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1961
224953|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1965
224954|PS0605| $65,591.35 |07366|Police Sergeant|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1975
224955|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1971
224959|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1968
224960|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1968
224961|PS0605| $65,591.35 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1973
224962|PS0606| $67,520.47 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1971
224964|PS0410| $60,100.14 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1957
224966|PS0708| $78,427.31 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1970
224967|PS0610| $75,237.00 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1970
224968|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1971
224969|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1972
224975|PS0610| $70,978.27 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1964
224981|ET0409| $55,714.11 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1959
224998|NS| $75,039.08 |06303|Supervisor Clerk & Maste|025|Clerk and Master|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1964
224999|NS| $64,368.99 |10527|Deputy Clerk & Master II|025|Clerk and Master|F|Full Time|002|Professionals|F|02|Black|1953
225011|TL0703| $37,797.30 |07325|Maint & Repair Leader 1|042|Public Works|F|Full Time|008|Service Maintenance|M|01|White (Not of Hispanic Origin)|1972
225031|SR1600| $134,954.27 |01496|Deputy Metropolitan Attorney|006|Law|F|Full Time|001|Officials and Administrators|M|01|White (Not of Hispanic Origin)|1951
225082|SR0610| $37,739.79 |10122|Office Support Rep 3|032|Fire|F|Full Time|006|Administrative Support|F|02|Black|1957
225145|SR1200| $27,347.84 |07757|Technical Specialist 2|031|Police|P|Part Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1959
225146|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1963
225160|PS0606| $67,520.47 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1969
225164|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1964
225165|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1965
225169|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1954
225174|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1965
225177|PS0610| $73,107.84 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1959
225179|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|02|Black|1953
225184|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1969
225185|PS0610| $70,978.27 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1966
225195|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1973
225212|PS0606| $67,520.47 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1972
225216|ET0607| $63,862.74 |10412|Emer Telecommunications Superv|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1959
225217|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1964
225218|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1960
225228|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1966
225236|SR1200| $60,132.21 |07245|Admin Svcs Officer 4|028|State Trial Courts|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1967
225320|SR069M| $37,874.87 |07329|Maint & Repair Worker 3|010|General Services|F|Full Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1951
225370|SR0408| $21,382.92 |07314|Group Care Aide|026|Juvenile Court|P|Part Time|008|Service Maintenance|F|02|Black|1966
225379|SR1500| $106,050.00 |01339|Ct Admin|026|Juvenile Court|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1972
225397|NS| $49,774.06 |10520|Supervision Coordinator|028|State Trial Courts|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1967
225424|SR1400| $88,075.31 |07159|Div Mgr-Sheriff|030|Sheriff|F|Full Time|001|Officials and Administrators|F|02|Black|1960
225426|NS| $66,827.22 |07869|Youth & Com Srvs Dir-NCAC|076|NCAC|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1972
225526|NS| $78,921.93 |07851|Director of Programs - NCAC|076|NCAC|F|Full Time|001|Officials and Administrators|F|01|White (Not of Hispanic Origin)|1966
225560|SR1010| $57,180.08 |07144|Sheriff Warrant Officer 3|030|Sheriff|F|Full Time|004|Protective Service Workers|M|02|Black|1964
225561|SR1200| $64,853.99 |10637|Sheriff SORT Commander|030|Sheriff|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1958
225562|SR100X| $37,457.16 |10576|Sheriff Chaplain|030|Sheriff|P|Part Time|002|Professionals|M|02|Black|1947
225563|SR0909| $50,440.91 |06686|Sheriff Warrant Officer 2|030|Sheriff|F|Full Time|004|Protective Service Workers|M|02|Black|1964
225564|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1971
225642|SR1106| $56,508.40 |07720|Admin Spec|019|District Attorney|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1958
225643|TG1103| $41,755.72 |04040|Radio Tech 2|010|General Services|F|Full Time|007|Skilled Craft Workers|M|01|White (Not of Hispanic Origin)|1970
225650|SR0507| $31,133.89 |06085|Concessions Clerk 2|040|Parks|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1955
225655|TL1105| $49,582.09 |07802|Treatment Plant Tech 3|065|Water Services|F|Full Time|007|Skilled Craft Workers|M|01|White (Not of Hispanic Origin)|1961
225715|SR0902| $41,149.36 |07241|Admin Asst|022|Juvenile Court Clerk|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1950
225733|PS0610| $73,107.62 |01495|Fire Marshal-Asst|032|Fire|F|Full Time|001|Officials and Administrators|M|02|Black|1958
225743|ET0407| $52,782.19 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|02|Black|1951
225745|PS0707| $71,987.92 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1964
225747|ET0700| $66,949.57 |10413|Emer Telecommunications Manage|091|Emergency Communication Center|F|Full Time|001|Officials and Administrators|F|01|White (Not of Hispanic Origin)|1962
225748|PS0606| $67,520.47 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1973
225756|PS0610| $70,978.27 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1961
225763|ET0606| $62,088.66 |10412|Emer Telecommunications Superv|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1970
225764|PS0610| $70,978.27 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1969
225768|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1962
225773|PS0509| $66,568.90 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1975
225775|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1959
225777|PS0510| $68,320.59 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1966
225778|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1968
225779|ET0410| $57,180.08 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1961
225780|SR0805| $40,748.48 |10102|Application Tech 2|033|Codes Administration|F|Full Time|003|Technicians|F|01|White (Not of Hispanic Origin)|1972
225782|ET0407| $52,782.19 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1978
225783|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1967
225784|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1971
225788|ET0700| $68,623.94 |10413|Emer Telecommunications Manage|091|Emergency Communication Center|F|Full Time|001|Officials and Administrators|M|01|White (Not of Hispanic Origin)|1963
225789|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1965
225790|PS0410| $61,850.88 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|03|Hispanic|1967
225794|ET0407| $52,782.19 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1969
225795|PS0410| $60,100.14 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1962
225796|ET0605| $60,314.58 |10412|Emer Telecommunications Superv|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1966
225797|PS0610| $73,107.62 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1957
225805|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1962
225808|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1969
225809|PS0510| $68,320.59 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1964
225810|PS0604| $63,662.22 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1974
225811|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1968
225812|ET0408| $54,248.15 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1965
225813|PS0605| $65,591.35 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1971
225819|PS0510| $64,453.39 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1965
225821|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1970
225827|PS0410| $60,100.14 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1962
225831|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1961
225833|ET0410| $57,180.08 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1953
225845|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1969
225846|PS0607| $65,518.48 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1969
225852|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1969
225854|ET0410| $57,180.08 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|02|Black|1956
225857|PS0607| $69,449.59 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1972
225861|ET0700| $68,623.94 |10413|Emer Telecommunications Manage|091|Emergency Communication Center|F|Full Time|001|Officials and Administrators|F|01|White (Not of Hispanic Origin)|1972
225862|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1969
225867|NS| $23,295.64 |07241|Admin Asst|030|Sheriff|P|Part Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1942
225869|SR1500| $106,505.98 |10549|Chief of Corrections|030|Sheriff|F|Full Time|001|Officials and Administrators|M|02|Black|1965
225873|ET0800| $75,877.64 |10414|Emer Telecommun Assist Directo|091|Emergency Communication Center|F|Full Time|001|Officials and Administrators|F|01|White (Not of Hispanic Origin)|1965
225878|PS0410| $60,100.14 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1969
225881|PS0607| $69,449.59 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1958
225886|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1971
225894|PS0607| $67,484.03 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|F|01|White (Not of Hispanic Origin)|1963
225896|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1956
225897|PS0710| $82,667.55 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1970
225904|PS0606| $65,609.51 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|02|Black|1964
225906|SR0701| $32,356.77 |10163|Service Rep 2|065|Water Services|F|Full Time|006|Administrative Support|F|02|Black|1967
225910|SR0608| $35,803.65 |07751|Police Security Guard 1|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1952
225926|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1972
225933|PS0709| $80,547.43 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1970
225935|ET0605| $60,314.58 |10412|Emer Telecommunications Superv|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1959
225937|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1974
225938|TS1205| $60,688.30 |01920|Equip Shop Supv|010|General Services|F|Full Time|007|Skilled Craft Workers|M|02|Black|1959
225939|SR070S| $48,203.08 |07250|Automotive Svc Writer|010|General Services|F|Full Time|007|Skilled Craft Workers|M|02|Black|1959
225940|ET0408| $54,248.15 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1967
225946|TG1105| $44,990.31 |01880|Equip Mechanic|010|General Services|F|Full Time|007|Skilled Craft Workers|M|01|White (Not of Hispanic Origin)|1964
225948|PS0410| $60,100.14 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1971
225950|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|04|Asian or Pacific Islander|1966
225951|PS0610| $70,978.27 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|F|01|White (Not of Hispanic Origin)|1965
225955|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1973
225956|ET0606| $62,088.66 |10412|Emer Telecommunications Superv|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|02|Black|1958
225957|ET0410| $57,180.08 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1963
225959|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1967
225962|PS0510| $64,453.39 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1957
225963|PS0802| $78,753.92 |00956|Police Captain|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1970
225968|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1954
225969|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1967
225970|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1960
225977|ET0410| $57,180.08 |10410|Emer Telecommunications Off 4|091|Emergency Communication Center|F|Full Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1957
225978|PS0710| $82,667.55 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1966
225981|PS0708| $76,207.67 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1969
225984|ET0700| $68,623.94 |10413|Emer Telecommunications Manage|091|Emergency Communication Center|F|Full Time|001|Officials and Administrators|F|01|White (Not of Hispanic Origin)|1965
225990|PS0510| $64,453.39 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1964
225992|ET0508| $59,736.72 |10411|Emer Telecommunications Traine|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1960
225993|PS0709| $80,547.43 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1969
225995|PS0409| $56,853.83 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1971
225996|PS1000| $117,841.76 |10154|Police Dpty Chief|031|Police|F|Full Time|001|Officials and Administrators|M|01|White (Not of Hispanic Origin)|1969
226002|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|04|Asian or Pacific Islander|1966
226011|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1969
226013|MAC13C| $80,000.96 |10233|Head Start Dir|075|Metro Action Commission|F|Full Time|001|Officials and Administrators|F|02|Black|1966
226016|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1966
226017|PS0509| $66,568.90 |07307|Fire Engineer|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1973
226020|PS0610| $70,978.27 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1967
226027|PS0606| $67,520.47 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1975
226029|PS0610| $70,978.27 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1961
226038|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1964
226040|ET0800| $77,015.80 |10414|Emer Telecommun Assist Directo|091|Emergency Communication Center|F|Full Time|001|Officials and Administrators|F|02|Black|1966
226047|PS0705| $72,066.96 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1971
226054|PS0410| $58,349.65 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1974
226056|PS0607| $69,449.59 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1975
226057|PS0510| $68,320.59 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1972
226060|PS0710| $77,988.25 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1965
226066|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1964
226069|PS0607| $69,449.58 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1972
226070|PS0605| $61,878.63 |07366|Police Sergeant|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1967
226071|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1975
226075|PS0410| $61,850.63 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1976
226078|PS0704| $69,946.85 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|02|Black|1971
226081|PS0802| $78,753.92 |00956|Police Captain|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1972
226083|SR1500| $93,419.69 |07762|Special Projects Mgr|019|District Attorney|F|Full Time|001|Officials and Administrators|M|01|White (Not of Hispanic Origin)|1975
226086|PS0705| $72,066.96 |07355|Police Lieutenant|031|Police|F|Full Time|002|Professionals|M|02|Black|1973
226088|PS0610| $75,236.97 |07366|Police Sergeant|031|Police|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1960
226089|PS0410| $60,100.14 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1966
226092|PS0510| $64,453.39 |07357|Police Officer 2-Fld Trng Ofcr|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1968
226093|SR1300| $75,238.63 |07242|Admin Svcs Mgr|019|District Attorney|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1975
226095|PS0410| $60,100.14 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1975
