Pay Grade/Step,Annual Salary,Class .,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N,County
ET0101,29027.16,10407,Emer Telecommunications Off 1,Emergency Communication Center,Full Time,006,Administrative Support,M,02,Black,1982,05/05/2014,N,DAVIDSON
ET0101,29027.16,10407,Emer Telecommunications Off 1,Emergency Communication Center,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1990,05/05/2014,N,DAVIDSON
SR0900,40618.44,06034,Program Coord,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1987,05/07/2014,N,DAVIDSON
NS,26967.35,10120,Office Support Rep 1,Juvenile Court Clerk,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1988,05/01/2014,N,DAVIDSON
SR0800,37959.53,02730,Human Resources Analyst 1,Human Resources,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1972,05/12/2014,N,DAVIDSON
TG042M,28563.54,07328,Maint & Repair Worker 2,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1991,05/12/2014,N,DAVIDSON
TG041M,27445.23,07328,Maint & Repair Worker 2,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1972,05/15/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,05/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,05/16/2014,N,ROBERTSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,05/16/2014,N,DAVIDSON
SR1200,61521.95,10722,Crime Lab Forensic Scientist 3,Police,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1985,05/16/2014,Y,SUMNER
TG032M,25977.44,02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1995,05/12/2014,N,DAVIDSON
TG032M,25977.44,02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1965,05/12/2014,N,ROBERTSON
TG031M,24975.62,02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1968,03/02/2015,N,CHEATHAM
NS,8840,09020,Seasonal/Part-time/Temporary,NCAC,Seasonal,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1996,02/02/2015,N,DAVIDSON
TG0802,34924.61,06229,Treatment Plant Tech 1,Water Services,Full Time,007,Skilled Craft Workers,F,04,Asian or Pacific Islander,1973,05/10/2014,N,DAVIDSON
SR1300,70058.75,07295,Engineer 2,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1976,05/10/2014,Y,KNOX
SR1300,70058.75,07295,Engineer 2,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1980,05/10/2014,Y,DAVIDSON
SR1200,60315.64,07783,Info Systems App Analyst 3,Information Technology Service,Full Time,002,Professionals,F,02,Black,1987,05/19/2014,Y,RUTHERFORD
NS,10083.84,09020,Seasonal/Part-time/Temporary,Assessor of Property,Seasonal,008,Service Maintenance,M,02,Black,1993,05/19/2014,N,DAVIDSON
SR0501,12714.52,10121,Office Support Rep 2,Public Library,Part Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1977,05/12/2014,N,DAVIDSON
SR0601,29027.16,07768,Circulation Supv,Public Library,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1972,05/12/2014,N,RUTHERFORD
SR1200,60315.64,10477,Information Sys oper Anal 3,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1964,05/10/2014,Y,MAURY
SR1300,70058.75,07295,Engineer 2,Water Services,Full Time,002,Professionals,F,02,Black,1974,05/10/2014,Y,DAVIDSON
TG1102,40172.35,01880,Equip Mechanic,General Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1962,05/12/2014,N,RUTHERFORD
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,06/01/2014,N,DAVIDSON
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,06/01/2014,N,DAVIDSON
SR0901,39821.99,06868,Plumbing Inspector 1,Codes Administration,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1953,05/26/2014,N,DAVIDSON
PD0100,52584.39,10171,Asst Pub Defender,Public Defender,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1980,05/27/2014,Y,DAVIDSON
MAC08B,37426.69,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1985,05/28/2014,N,SUMNER
MAC01B,11282.92,10250,Teacher Asst,Metro Action Commission,Part Time,006,Administrative Support,F,02,Black,1995,05/28/2014,N,DAVIDSON
CA0600,43680,10675,Set Up Staff Supv-Conv Ctr,Convention Center Authority,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1968,06/02/2014,N,SUMNER
CA0100,22880,10672,Housekeeping-Convention Ctr,Convention Center Authority,Full Time,008,Service Maintenance,M,02,Black,1963,06/02/2014,N,DAVIDSON
SR0701,15531.11,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1947,05/30/2014,N,DAVIDSON
SR0701,15531.11,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,02,Black,1988,05/30/2014,N,DAVIDSON
SR0701,24267.36,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,M,02,Black,1988,05/23/2014,N,DAVIDSON
SR0701,15531.11,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,M,02,Black,1988,05/23/2014,N,DAVIDSON
SR0801,35955.04,04949,Social Worker 1,District Attorney,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1991,05/21/2014,N,RUTHERFORD
PD0100,48917.74,10171,Asst Pub Defender,Public Defender,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1987,06/02/2014,Y,DAVIDSON
PD0100,48917.74,10171,Asst Pub Defender,Public Defender,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1988,06/02/2014,Y,DAVIDSON
NS,2773.06,09020,Seasonal/Part-time/Temporary,Trustee,Seasonal,008,Service Maintenance,F,01,White (Not of Hispanic Origin),1997,06/09/2014,N,DAVIDSON
SP0101,8214.57,03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,02,Black,1955,08/04/2014,N,DAVIDSON
HD0300,46215.69,10758,Public Health Nurse 1,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1964,05/30/2014,N,DAVIDSON
TG032M,25977.44,02799,Maint & Repair Worker 1,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1994,06/16/2014,N,SUMNER
SR0701,14560.42,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,03,Hispanic,1996,06/11/2014,N,DAVIDSON
SR0701,15531.11,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,02,Black,1995,06/06/2014,N,DAVIDSON
RP1001,9364.99,09102,Part Time Worker 3,Parks,Part Time,003,Technicians,F,02,Black,1998,06/11/2014,N,DAVIDSON
SR0501,25945.97,10121,Office Support Rep 2,Public Library,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1966,06/09/2014,N,WILLIAMSON
SR1300,70058.75,07295,Engineer 2,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1977,06/07/2014,Y,WILSON
SR0901,39821.99,10487,Crime Scene Technician 1,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1973,06/16/2014,N,WILSON
SR0901,39821.99,10487,Crime Scene Technician 1,Police,Full Time,004,Protective Service Workers,F,04,Asian or Pacific Islander,1987,06/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,06/16/2014,N,DICKSON
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,F,03,Hispanic,1984,06/16/2014,N,RUTHERFORD
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,06/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,06/16/2014,N,SUMNER
SR0701,15531.11,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1992,06/16/2014,N,DAVIDSON
SR0701,15531.11,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,02,Black,1985,06/13/2014,N,DAVIDSON
CA0100,24024,10674,Set Up Staff-Convention Ctr,Convention Center Authority,Full Time,008,Service Maintenance,M,02,Black,1994,06/16/2014,N,DAVIDSON
CA0100,22880,10672,Housekeeping-Convention Ctr,Convention Center Authority,Full Time,008,Service Maintenance,M,02,Black,1957,06/16/2014,N,DAVIDSON
SR1102,50051.76,07753,Professional Spec,Social Services,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1985,06/16/2014,Y,DAVIDSON
NS,28011.06,10314,Case Officer 1,State Trial Courts,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1984,06/16/2014,Y,DAVIDSON
MAC08B,37426.69,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1993,06/23/2014,N,RUTHERFORD
MAC09B,39592.89,10240,HR Analyst 1,Metro Action Commission,Full Time,005,Para-Professional,F,02,Black,1976,06/23/2014,N,DAVIDSON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,07/01/2014,N,RUTHERFORD
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,07/01/2014,N,RUTHERFORD
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,07/01/2014,N,MONTGOMERY
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,07/01/2014,N,ROBERTSON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,07/01/2014,N,DAVIDSON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1993,07/01/2014,N,WILSON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1990,07/01/2014,N,MADISON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,07/01/2014,N,WILSON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,07/01/2014,N,WILSON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1989,07/01/2014,N,JEFFERSON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1983,07/01/2014,N,DAVIDSON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1983,07/01/2014,N,DAVIDSON
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1986,07/01/2014,N,RUTHERFORD
CO0101,32356.77,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,07/01/2014,N,
SR0508,31998.54,10756,Inmate Prop Clerk-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1966,07/01/2014,N,WILSON
SR0800,36853.92,07243,Admin Svcs Officer 2,Human Resources,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1975,06/23/2014,N,RUTHERFORD
SR0505,29404.58,10121,Office Support Rep 2,General Sessions Court,Full Time,006,Administrative Support,F,03,Hispanic,1982,06/26/2014,N,DAVIDSON
SR0801,35955.04,07379,Program Spec 2,Public Library,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1989,06/23/2014,N,WILLIAMSON
SR1300,65058.44,10717,Crime Lab IT Manager,Police,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1985,07/01/2014,Y,DAVIDSON
NS,30754.5,06506,Deputy Criminal Ct Clerk 5,Criminal Court Clerk,Full Time,006,Administrative Support,M,02,Black,1987,06/30/2014,N,RUTHERFORD
NS,28146.52,06506,Deputy Criminal Ct Clerk 5,Criminal Court Clerk,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1965,06/30/2014,N,DAVIDSON
SR0600,29027.17,07378,Program Spec 1,Health,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1975,07/01/2014,N,RUTHERFORD
SR1000,44866.13,07380,Program Spec 3,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1983,06/30/2014,N,DAVIDSON
SR1200,60315.64,10477,Information Sys oper Anal 3,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1976,06/30/2014,Y,WILLIAMSON
SR1000,43986.4,06918,Info Sys Comm Analyst 1,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1980,06/30/2014,Y,RUTHERFORD
CA0400,50000,10657,Training Mgr-MCC,Convention Center Authority,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1955,06/30/2014,Y,WILLIAMSON
CA0100,22880,10672,Housekeeping-Convention Ctr,Convention Center Authority,Full Time,008,Service Maintenance,F,02,Black,1980,06/30/2014,N,DAVIDSON
NS,28011.06,10314,Case Officer 1,State Trial Courts,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1989,06/23/2014,N,DAVIDSON
SR0601,29027.16,10122,Office Support Rep 3,Water Services,Full Time,006,Administrative Support,M,02,Black,1980,06/21/2014,N,DAVIDSON
SR0601,29027.16,10122,Office Support Rep 3,Water Services,Full Time,006,Administrative Support,M,02,Black,1980,06/21/2014,N,DAVIDSON
SR0601,29027.16,10122,Office Support Rep 3,Water Services,Full Time,006,Administrative Support,M,02,Black,1980,06/21/2014,N,DAVIDSON
SR0601,29027.16,10122,Office Support Rep 3,Water Services,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1982,06/21/2014,N,DAVIDSON
SR1300,70058.75,07295,Engineer 2,Water Services,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1979,06/21/2014,Y,DAVIDSON
NS,832,09020,Seasonal/Part-time/Temporary,State Fair Board,Seasonal,008,Service Maintenance,F,01,White (Not of Hispanic Origin),1957,07/04/2014,N,DAVIDSON
SR1300,80800,10129,Planning Mgr 1,Planning Commission,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1981,07/07/2014,Y,DAVIDSON
NS,36720.12,07831,Public Relations Assoc- NCAC,NCAC,Full Time,002,Professionals,F,02,Black,1991,07/09/2014,N,DAVIDSON
TG032M,25977.12,02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1970,07/08/2014,N,SUMNER
SR0701,15531.11,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,02,Black,1995,07/07/2014,N,DAVIDSON
SR0501,25945.97,10121,Office Support Rep 2,Parks,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1981,07/11/2014,N,DAVIDSON
CA0200,27976,10710,Security & Parking Off 2-MCC,Convention Center Authority,Full Time,004,Protective Service Workers,M,02,Black,1978,07/07/2014,N,DAVIDSON
CA0600,50000,10702,Security & Parking Mgr-MCC,Convention Center Authority,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1972,07/07/2014,Y,SUMNER
CA0100,22880,10672,Housekeeping-Convention Ctr,Convention Center Authority,Full Time,008,Service Maintenance,F,02,Black,1958,07/07/2014,N,DAVIDSON
SR061M,29897.97,07737,Cust Svc Field Rep 2,Water Services,Full Time,008,Service Maintenance,M,02,Black,1982,07/07/2014,N,DAVIDSON
NS,34855.1,06506,Deputy Criminal Ct Clerk 5,Criminal Court Clerk,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1986,07/05/2014,N,SUMNER
ET0101,29027.16,10407,Emer Telecommunications Off 1,Emergency Communication Center,Full Time,006,Administrative Support,F,02,Black,1989,07/07/2014,N,DAVIDSON
CA0200,27976,10710,Security & Parking Off 2-MCC,Convention Center Authority,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1979,09/29/2014,N,DAVIDSON
ET0101,29027.16,10407,Emer Telecommunications Off 1,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1991,07/07/2014,N,DAVIDSON
ET0101,29027.16,10407,Emer Telecommunications Off 1,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1981,07/07/2014,N,CHEATHAM
SR0401,23113.2,07362,Police Operations Asst 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1993,07/16/2014,N,DAVIDSON
SR0401,23113.2,07362,Police Operations Asst 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1953,07/16/2014,N,DAVIDSON
SR0401,23113.2,07362,Police Operations Asst 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1993,07/18/2014,N,SUMNER
SR0401,23113.2,07362,Police Operations Asst 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1994,07/16/2014,N,WILSON
SR1004,48384.29,07323,Librarian 2,Public Library,Full Time,002,Professionals,F,02,Black,1977,07/07/2014,Y,DAVIDSON
SR1200,61586.94,05300,Library Mgr 2,Public Library,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1979,07/07/2014,Y,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,07/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,02,Black,1988,07/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,07/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,07/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,07/16/2014,N,DAVIDSON
PS0301,41742.52,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,07/16/2014,N,DAVIDSON
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,07/16/2014,N,SUMNER
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,07/16/2014,N,SUMNER
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,07/16/2014,N,DAVIDSON
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,07/16/2014,N,MONTGOMERY
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,07/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,07/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,07/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1963,07/16/2014,N,WILSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,07/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,07/16/2014,N,DAVIDSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,07/16/2014,N,WILLIAMSON
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,07/16/2014,N,DAVIDSON
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,07/16/2014,N,DAVIDSON
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,07/16/2014,N,
PS0201,36471.06,03257,Police Officer Trainee,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,07/16/2014,N,CHEATHAM
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,07/16/2014,N,SUMNER
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,07/16/2014,N,MONTGOMERY
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,07/16/2014,N,WILSON
PS0301,40526.72,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1984,07/16/2014,N,MONTGOMERY
PS0301,42958.32,06872,Police Officer 1,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,07/16/2014,N,DAVIDSON
PS0201,36471.06,03257,Police Officer Trainee,Police,Full Time,004,Protective Service Workers,F,02,Black,1983,07/16/2014,N,DAVIDSON
SR0601,29027.16,04540,Computer Operator 2,Police,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1991,07/16/2014,N,DAVIDSON
SR0410,30050.67,10120,Office Support Rep 1,Circuit Court Clerk,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1962,07/07/2014,N,DAVIDSON
HD0600,62418,06489,Public Hlth Nurse Practitioner,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1988,07/05/2014,Y,DAVIDSON
SR0601,7256.6,07378,Program Spec 1,Information Technology Service,Part Time,002,Professionals,F,02,Black,1992,07/01/2014,N,DAVIDSON
SR1200,57216.5,06862,Planner 2,Planning Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1974,07/14/2014,Y,DAVIDSON
NS,75750,10620,Adult Literacy-Mayor's Office,Administrative,Full Time,001,Officials and Administrators,F,02,Black,1966,07/21/2014,Y,DAVIDSON
NS,32500,07378,Program Spec 1,Community Ed Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1988,07/21/2014,N,DAVIDSON
MAC08B,37426.69,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1990,07/21/2014,N,RUTHERFORD
SR051M,26724.35,07736,Cust Svc Field Rep 1,Public Works,Full Time,008,Service Maintenance,M,02,Black,1965,07/23/2014,N,DAVIDSON
TG032M,25977.12,02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1994,07/22/2014,N,CHEATHAM
TG032M,25977.12,02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,02,Black,1980,07/22/2014,N,DAVIDSON
SR1001,43986.4,07244,Admin Svcs Officer 3,Police,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1986,08/12/2014,Y,DAVIDSON
CA0100,24960,10708,Ambassador 2-MCC,Convention Center Authority,Full Time,006,Administrative Support,M,02,Black,1981,07/21/2014,N,DAVIDSON
SR0701,32356.77,04030,Radio Announcer,Public Library,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1988,07/21/2014,N,DAVIDSON
SR1101,48437.6,07793,Library Mgr 1,Public Library,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1972,07/21/2014,Y,DAVIDSON
SP0101,8214.57,03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,02,Black,1954,08/04/2014,N,DAVIDSON
TG0302,25220.82,07280,Custodian 1,Parks,Full Time,008,Service Maintenance,M,02,Black,1958,07/18/2014,N,DAVIDSON
RP1001,14632.8,09102,Part Time Worker 3,Parks,Part Time,005,Para-Professional,M,01,White (Not of Hispanic Origin),1989,07/18/2014,N,DAVIDSON
SR0801,26966.16,00220,Specialized Skills Instr,Parks,Part Time,002,Professionals,M,01,White (Not of Hispanic Origin),1972,07/18/2014,N,DAVIDSON
NS,28146.52,06505,Deputy Criminal Ct Clerk 4,Criminal Court Clerk,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1990,07/28/2014,N,RUTHERFORD
SR1200,53218.24,10644,Nutritionist 4,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1980,07/19/2014,Y,DAVIDSON
SR1400,76255,10548,Animal Care & Control Manager,Health,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1980,07/29/2014,Y,DAVIDSON
SP0101,8214.57,03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1953,08/04/2014,N,DAVIDSON
SP0101,8214.57,03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,02,Black,1959,08/04/2014,N,DAVIDSON
SR0401,23113.2,07362,Police Operations Asst 1,Police,Full Time,006,Administrative Support,M,02,Black,1985,08/01/2014,N,DAVIDSON
SR0506,30269.23,10121,Office Support Rep 2,Election Commission,Full Time,006,Administrative Support,F,30,Hawaiian or Pacific Islander,1974,07/21/2014,N,DAVIDSON
SP0101,8214.57,03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1949,08/04/2014,N,DAVIDSON
NS,32700,,.,Circuit Court Satellite,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1991,08/01/2014,N,SUMNER
MAC08B,37426.69,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1990,08/04/2014,N,WILSON
MAC01A,24172.43,10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1980,08/04/2014,N,DAVIDSON
CA0200,33280,10731,Engineering Tech 1-MCC,Convention Center Authority,Full Time,008,Service Maintenance,F,02,Black,1980,08/04/2014,N,DAVIDSON
TG0702,33250.76,06827,Equip Operator 2,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1973,08/02/2014,N,SUMNER
SR0701,32356.77,10123,Office Support Spec 1,Public Works,Full Time,006,Administrative Support,F,02,Black,1982,08/01/2014,N,DAVIDSON
TG032M,25977.12,02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,02,Black,1964,08/04/2014,N,MARSHALL
